id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
30595285,APCR,,,PreservedSpecimen,4f94d545-7eab-46de-a3c6-9d652157cfbe,APCR015756,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Plantago,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,Plantago purshii,10745.0,Roemer & J.A. Schultes,Plantago,,purshii,,,Species,,,,,,,,James S. Wilson,,10670,1966-05-25,,1966.0,5.0,25.0,145.0,,25 May 1966,,Grassy roadside.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,1 1/2 m W of Perry on I-35.,,0.0,,,,,,,,,,,,,,,,,,,,acorlett54,2023-07-16 07:02:03,,148,4f94d545-7eab-46de-a3c6-9d652157cfbe,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30595285,Noble,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3242591,ARIZ,,,PreservedSpecimen,urn:uuid:639f692a-0cb3-441b-9ab5-14000d3cb933,84278,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bouteloua,Plantae,Magnoliophyta,,Poales,Poaceae,Bouteloua curtipendula,635.0,(Michx.) Torr.,Bouteloua,,curtipendula,,,Species,Kandres Halbrook,2012-05,,,,,,O. H. Brensing,,59,1940-09-29,,1940.0,9.0,29.0,273.0,,"September 29,1940",,Clay loam soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,2 mi. N.W. of Perry,,,,,,,,,,,,,,,,,,,,,,Leawna,2015-10-23 11:28:30,305665,2,997ace7b-10a0-4888-ab0d-a2fb28eb0ca8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3242591,Noble,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
15927777,ASU,Plants,,PreservedSpecimen,86f53131-37df-4195-a323-957982082b3b,,03522,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Oryzeae|Leersia,Plantae,Magnoliophyta,,Poales,Poaceae,Leersia virginica,48716.0,Willd.,Leersia,,virginica,,,Species,,,,,,,,W.F. Mahler,,203,1958-10-11,,1958.0,10.0,11.0,284.0,,,,Wooded creek bank.,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Noble,,1 mi E of Morrison,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,86f53131-37df-4195-a323-957982082b3b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=15927777,Noble,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
16235890,ASU,Plants,,PreservedSpecimen,524d5086-080a-408d-8934-1a914668eeae,,03889,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Panicum,Plantae,Magnoliophyta,,Poales,Poaceae,Panicum virgatum,1606.0,L.,Panicum,,virgatum,,,Species,,,,,,,,W.F. Mahler,,108,1958-09-20,,1958.0,9.0,20.0,263.0,,,,Low area of bar ditch.,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Noble,,0.75 mi S of Black Bear Creek on Hwy 40,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,524d5086-080a-408d-8934-1a914668eeae,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16235890,Noble,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
16643124,ASU,Plants,,PreservedSpecimen,eb913b44-90a0-48d6-b01e-b0ccfb43534d,,04182,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Sorghastrum,Plantae,Magnoliophyta,,Poales,Poaceae,Sorghastrum nutans,3207.0,(L.) Nash,Sorghastrum,,nutans,,,Species,,,,,,,,W.F. Mahler,,109,1958-09-20,,1958.0,9.0,20.0,263.0,,,,Low area of bar ditch.,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Noble,,0.75 mi S of Black Bear Creek on Hwy 40,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,eb913b44-90a0-48d6-b01e-b0ccfb43534d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16643124,Noble,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25199627,BRIT,SMU,,PreservedSpecimen,fa456c36-a59d-4360-998b-64a88e8388bf,BRIT542186,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Echinacea|Echinacea angustifolia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Echinacea angustifolia var. strigosa,81985.0,R.L. McGregor,Echinacea,,angustifolia,var.,strigosa,Variety,R. L. McGregor,1961-01-09,,,,,,Vernon L. Harms,,371,1960-06-13,,1960.0,6.0,13.0,165.0,,,Large colony.,very rocky roadside bank; red gypsum clay.,,Yellow pollen; rays light to dark pink; stem pubescence strigose to hirsute.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=855ae024-834f-4090-b451-093594e4e43f | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0d96a31f-ba8b-11e3-8cfe-90b11c41863e,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,2.6 mi. N. of Perry along Hy. 77.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,fa456c36-a59d-4360-998b-64a88e8388bf,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25199627,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25199628,BRIT,SMU,,PreservedSpecimen,32be0c49-9356-4123-85e8-eaa50f521cbb,BRIT542185,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Echinacea|Echinacea angustifolia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Echinacea angustifolia var. strigosa,81985.0,R.L. McGregor,Echinacea,,angustifolia,var.,strigosa,Variety,,,,,,,,Vernon L. Harms,,369,1960-06-13,,1960.0,6.0,13.0,165.0,,,Medium size colony. Chromosome No. = N=11,"Roadside bank & fencerow, red gypsum clay.",,"Yellow pollen; rays medium to dark pink; stem pubescence strigose, to hirsute.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1b0652e1-f315-4b8c-b541-e8c7a7b35871 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=04e3cae8-ba8b-11e3-8cfe-90b11c41863e,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,3.4 mi. S. of Ceres along Hy. 77.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,32be0c49-9356-4123-85e8-eaa50f521cbb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25199628,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25199661,BRIT,SMU,,PreservedSpecimen,7b8df9cf-74e5-4612-83dd-968d53d9978a,BRIT542200,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Echinacea,Plantae,Magnoliophyta,,Asterales,Asteraceae,Echinacea pallida,43810.0,(Nutt.) Nutt.,Echinacea,,pallida,,,Species,,,,,,,,Vernon L. Harms,,375,1960-06-14,,1960.0,6.0,14.0,166.0,,,Small colony,grassy roadside; red gypsum clay loam.,,White pollen; very light pink rays.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0c166f51-ba8b-11e3-8cfe-90b11c41863e,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,3.8 mi. E. of Perry along Hy. 64.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,7b8df9cf-74e5-4612-83dd-968d53d9978a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25199661,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25206685,BRIT,BRIT,,PreservedSpecimen,ae8e4525-8d50-4c3b-b937-bb360c829ccf,BRIT548851,07368,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Helianthus,Plantae,Magnoliophyta,,Asterales,Asteraceae,Helianthus petiolaris,2804.0,Nutt.,Helianthus,,petiolaris,,,Species,,,,,,,,John Taylor,,28299,1979-09-28,,1979.0,9.0,28.0,271.0,,"September 28, 197",,along creek. Downstream from Highway,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Collected along Salt Fork Creek, 7.7 miles south of Ponca City, Okla. Downstream from Hwy. #177.",,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,ae8e4525-8d50-4c3b-b937-bb360c829ccf,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25206685,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25214111,BRIT,BRIT,,PreservedSpecimen,6e95a2d6-bf12-4a16-9d7e-9923ca976516,BRIT559229,06943,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Iva,Plantae,Magnoliophyta,,Asterales,Asteraceae,Iva annua,18335.0,L.,Iva,,annua,,,Species,,,,,,,,John Taylor,,28288,1979-09-28,,1979.0,9.0,28.0,271.0,,"September 28, 197",,along creek. Downstream from Highway,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Collected along Salt Fork Creek, 7.7 miles south of Ponca City, Okla. Downstream from Hwy. #177.",,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,6e95a2d6-bf12-4a16-9d7e-9923ca976516,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25214111,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25219498,BRIT,SMU,,PreservedSpecimen,57166670-ccc3-464b-a547-0a84ed3883b9,BRIT559898,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Silphium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Silphium laciniatum,18741.0,L.,Silphium,,laciniatum,,,Species,,,,,,,,Paul Harding,,88,1939-07-12,,1939.0,7.0,12.0,193.0,,,,"sandy, rocky soil",,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,2½ mi. S.E. of Perry,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,57166670-ccc3-464b-a547-0a84ed3883b9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25219498,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25219763,BRIT,BRIT,,PreservedSpecimen,34da5a89-67c2-4cd2-896a-6729d37bec63,BRIT560003,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Solidago,Plantae,Magnoliophyta,,Asterales,Asteraceae,Solidago canadensis,143.0,L.,Solidago,,canadensis,,,Species,,,,,,,,John Taylor,,28294,1979-09-28,,1979.0,9.0,28.0,271.0,,"September 28, 197",,along creek. Downstream from Highway,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Collected along Salt Fork Creek, 7.7 miles south of Ponca City, Okla. Downstream from Hwy. #177.",,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,34da5a89-67c2-4cd2-896a-6729d37bec63,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25219763,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25221428,BRIT,BRIT,,PreservedSpecimen,9a42d270-92b2-4b50-83bc-ce8d6f0651be,BRIT560355,07106,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Solidago,Plantae,Magnoliophyta,,Asterales,Asteraceae,Solidago petiolaris,18757.0,Aiton,Solidago,,petiolaris,,,Species,,,,,,,,John Taylor,,28278,1979-09-28,,1979.0,9.0,28.0,271.0,,"September 28, 197",,along creek. Downstream from Highway,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a27b2971-cdf5-4d70-b41c-3a6a45756c54,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Collected along Salt Fork Creek, 7.7 miles south of Ponca City, Okla. Downstream from Hwy. #177.",,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,9a42d270-92b2-4b50-83bc-ce8d6f0651be,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25221428,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25260457,BRIT,SMU,,PreservedSpecimen,50d77a60-6581-48dd-bda6-0d964b809201,BRIT561661,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Amorpha,Plantae,Magnoliophyta,,Fabales,Fabaceae,Amorpha fruticosa,4030.0,L.,Amorpha,,fruticosa,,,Species,Robert L. Wilbur,1968-00-00,,,,,,Robert Stratton,,3921,1935-05-30,,1935.0,5.0,30.0,150.0,,,,loam soil by ditch,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e8a0162b-44f4-49fe-a85b-432857ba105d | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4937a204-247f-4469-a185-b743f8c576ec,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,.5 mi. S. of Marland,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,50d77a60-6581-48dd-bda6-0d964b809201,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25260457,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25262962,BRIT,BRIT,,PreservedSpecimen,c6069cbf-475e-4daa-adaa-80ffa49f64f4,BRIT561394,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Lithospermum,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Lithospermum incisum,1780.0,Lehm.,Lithospermum,,incisum,,,Species,,,,,,,,Terry R. Conley,,22,1977-04-16,,1977.0,4.0,16.0,106.0,,,,ungrazed pasture on gentle sloping hill,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"About 2 mi. N. of Marland, Okla. and ½ mi. E. by 101 Ranch Rodeo grounds.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,c6069cbf-475e-4daa-adaa-80ffa49f64f4,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25262962,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25269825,BRIT,SMU,,PreservedSpecimen,45edd867-b217-477f-970e-ac4ae34c2ef1,BRIT434618,17353,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Euphorbia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Euphorbia nutans,27287.0,Lag.,Euphorbia,,nutans,,,Species,,,,,,,,John Taylor,,28286,1979-09-28,,1979.0,9.0,28.0,271.0,,"September 28, 197",[needs image for database],along creek. Downstream from Highway,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Collected along Salt Fork Creek, 7.7 miles south of Ponca City. Downstream from Hwy. #177",,0.0,,,,,,,,,,,,,,,,,,,,jstone,2023-07-16 07:02:03,,370,45edd867-b217-477f-970e-ac4ae34c2ef1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25269825,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26731152,BRIT,SMU,,PreservedSpecimen,378c27ce-0409-4e42-a537-506f92efc55c,BRIT599122,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Chasmanthium,Plantae,Magnoliophyta,,Poales,Poaceae,Chasmanthium latifolium,648.0,(Michx.) H. O. Yates,Chasmanthium,,latifolium,,,Species,Harris O. Yates,1963-09-00,,,,comb. nov. ined.,,Paul Harding,,126,1939-07-25,,1939.0,7.0,25.0,206.0,,,,Rich woodland.,,,,,,,,,,,,,,,,,,,,,,,,Malaysia,Oklahoma,Noble,,3 mi. S.E. of Perry.,,0.0,,,,,,,,,,,,,,,,,,,,julie62,2023-10-02 10:21:42,,370,378c27ce-0409-4e42-a537-506f92efc55c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26731152,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26767056,BRIT,BRIT,,PreservedSpecimen,5330cf12-b89c-45c4-8f25-60e585381dc7,BRIT563719,17633,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Amaranthaceae|Kochia,Plantae,Magnoliophyta,,Caryophyllales,Amaranthaceae,Kochia scoparia,37.0,(L.) Schrad.,Kochia,,scoparia,,,Species,,,,,,,,John Taylor,,28292,1979-09-28,,1979.0,9.0,28.0,271.0,,"September 28, 197",,along creek. Downstream from Highway,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Collected along Salt Fork Creek, 7.7 miles south of Ponca City, Okla. Downstream from Hwy. #177",,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,5330cf12-b89c-45c4-8f25-60e585381dc7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26767056,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26829762,BRIT,BRIT,,PreservedSpecimen,45dd1c6d-7426-4fb2-bc05-aa1dddd61e1e,BRIT564863,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Dalea,Plantae,Magnoliophyta,,Fabales,Fabaceae,Dalea candida,1559.0,Michx. ex Willd.,Dalea,,candida,,,Species,,,,,,,,Amy Buthod,Wayne Elisens,AB-2420,2002-07-02,,2002.0,7.0,2.0,183.0,,,,Prairie.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=443c2a03-da08-4cfc-9e1f-aa5a7588264b,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Perry; Perry CCC Lake (also known as Perry Lake), ca 2.0 mi S of Perry. T21N R1W Sec.26.",,0.0,,36.2679,-97.2738,WGS84,1609.0,TRS: T21N R1W S26,,,,,copied from duplicate OKL NULL; Coordinates based on TRS centroid,,,,,,,,,apbordelon,2023-09-29 10:26:23,,370,45dd1c6d-7426-4fb2-bc05-aa1dddd61e1e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26829762,Noble,Whitelisted institutionCode; 
26830523,BRIT,SMU,,PreservedSpecimen,c2fcc30e-d896-4614-a2c3-95d305a20740,BRIT564197,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Cornales|Cornaceae|Cornus,Plantae,Magnoliophyta,,Cornales,Cornaceae,Cornus florida,45267.0,L.,Cornus,,florida,,,Species,,,,,,,,R. J. Ellis,,49,1950-09-23,,1950.0,9.0,23.0,266.0,,,,On the bank of creek.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"On the bank of Red Rock Creek, 1 mi. east and 2 mi. north of Red Rock.",,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,c2fcc30e-d896-4614-a2c3-95d305a20740,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26830523,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26831015,BRIT,BRIT,,PreservedSpecimen,f6b35412-b664-4db0-af24-fb8123b20218,BRIT563823,17634,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Amaranthaceae|Cycloloma,Plantae,Magnoliophyta,,Caryophyllales,Amaranthaceae,Cycloloma atriplicifolium,27.0,(Spreng.) J. M. Coult.,Cycloloma,,atriplicifolium,,,Species,,,,,,,,John Taylor,,28295,1979-09-28,,1979.0,9.0,28.0,271.0,,"September 28, 197",,along creek. Downstream from Highway,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Collected along Salt Fork Creek, 7.7 miles south of Ponca City, Okla. Downstream from Hwy. #177.",,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,f6b35412-b664-4db0-af24-fb8123b20218,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26831015,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26831178,BRIT,BRIT,,PreservedSpecimen,1a3c15b2-7af2-479f-9c11-84c9a30e0b1b,BRIT567079,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Strophostyles,Plantae,Magnoliophyta,,Fabales,Fabaceae,Strophostyles leiosperma,1693.0,(Torr. & A. Gray) Piper,Strophostyles,,leiosperma,,,Species,Anthonia O. Ajayi,1986-06-00,,,,,,John Taylor,,28298,,,,,,,,"September 29, 197 [last digit illegible]",,Along creek.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Collected along Salt Fork Creek, 7.7 miles south of Ponca City, Okla. Down stream from Hwy. #177.",,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,1a3c15b2-7af2-479f-9c11-84c9a30e0b1b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26831178,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26927251,BRIT,SMU,,PreservedSpecimen,3f714bbf-5095-464c-a8f3-11fa40a859ca,BRIT438010,17338,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Euphorbia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Euphorbia hexagona,18232.0,Nutt. ex Spreng.,Euphorbia,,hexagona,,,Species,,,,,,,,John Taylor,,28281,1979-09-28,,1979.0,9.0,28.0,271.0,,"September 28, 197",[needs image for database],along creek. Downstream from Highway,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Collected along Salt Fork Creek, 7.7 miles south of Ponca City, Okla. Downstream from Hwy. # 177",,0.0,,,,,,,,,,,,,,,,,,,,jstone,2023-07-16 07:02:03,,370,3f714bbf-5095-464c-a8f3-11fa40a859ca,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26927251,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27105237,BRIT,BRIT,,PreservedSpecimen,19bfe77b-0f34-4e8b-8126-83f5f954e885,BRIT568422,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Haloragaceae|Myriophyllum,Plantae,Magnoliophyta,,Saxifragales,Haloragaceae,Myriophyllum heterophyllum,18447.0,Michx.,Myriophyllum,,heterophyllum,,,Species,,,,,,,,B. Hoagland,N. A. McCarty,62,1998-07-30,,1998.0,7.0,30.0,211.0,,,,Pond.,,,,,,,,,,"Typha domingensis, Cephalanthus occidentalis",,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Sooner Lake, S side of road in pond. T22N R2E S12.",,,,,,,,TRS: T22N R2E S12,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,19bfe77b-0f34-4e8b-8126-83f5f954e885,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27105237,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27157366,BRIT,BRIT,,PreservedSpecimen,7389486e-b1df-4e1c-9a34-915f7df98060,BRIT568907,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Zygophyllales|Krameriaceae|Krameria,Plantae,Magnoliophyta,,Zygophyllales,Krameriaceae,Krameria lanceolata,1448.0,Torr.,Krameria,,lanceolata,,,Species,,,,,,,,Amy Buthod,Wayne Elisens,AB-2453,2002-07-02,,2002.0,7.0,2.0,183.0,,,,Prairie.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4ffb9390-043e-4b4e-b402-7bdd69177e3f,,,,,,,,,,,,,,,,United States,Oklahoma,Noble,,"Perry; Lake Perry, ca. 3.0 mi W on Hwy 77 & 2.5 mi S on road NS318 of Perry, OK. T20N, R1W, Sec 6. 14S 0649508 4012591.",,,,36.24666,-97.336026,,,14S 0649508 4012591,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,7389486e-b1df-4e1c-9a34-915f7df98060,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27157366,Noble,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
