id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
12518227,ARIZ,,,PreservedSpecimen,urn:uuid:5609316d-bd13-49a5-80a4-5ee247be84e1,427567,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus|Astragalus nuttallianus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus nuttallianus var. nuttallianus,74029.0,DC.,Astragalus,,nuttallianus,var.,nuttallianus,Variety,Mark Fishbein,2015,,,,,,Mark Fishbein,"Lane Greer, Randy Ledford",7475,2015-04-25,,2015.0,4.0,25.0,115.0,,25 April 2015,,Upland prairie.,,"Annual, petals purple; uncommon.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=bb89d75a-8287-45f0-b87a-a35e67781567,,"Symphoricarpos, Panicum virgatum, Pediomelum, Rhus glabrum, Artemisia ludoviciana, Escobaria, Salvia azurea, Lithospermum incisum, Achillea",,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,"Ledford property, east of OK Hwy 18, 0.4 km east of Pawnee Lake, about 2.3 km north-northeast of Pawnee",,,,36.36083,-96.79733,,,"36.36083? N, 96.79733? W",,,,,,279.0,,,,,279 m,,,Hailey,2016-09-21 10:54:54,338019,2,1512fca2-facf-4d7c-b332-380c754740b0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=12518227,Pawnee,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21593083,BALT,,,PreservedSpecimen,,,048117,,,,,,,Coreopsis grandiflora Laennecia coulteri,,,,,,,,,Travis Poulsen,,,,,,,J. Estes,R. Tyrl,980,1975-05-20,,1975.0,5.0,20.0,140.0,,5/20/1975,,,,,,,,,,,,,flowering,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,Blackburn,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,331,7f63fe8e-4407-4b01-b380-f03b91feac4d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21593083,Pawnee,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
22863156,BRIT,SMU,,PreservedSpecimen,2c4f2922-df18-4dc9-9933-976bd37c6539,BRIT429470,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Myriopteris,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Myriopteris tomentosa,172128.0,"(Link) Fée,",Myriopteris,,tomentosa,,,Species,Alejandra Vasco (BRIT),2018-02-22,,,,,,Leg.ign.,,s.n.,1916-11-23,,1916.0,11.0,23.0,328.0,,,,On dry SS,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,N ½ 21-21-7 near Cleveland Okla,,0.0,,,,,,,,,,,,,,,,,,,,sfrary,2023-07-16 07:02:03,,370,2c4f2922-df18-4dc9-9933-976bd37c6539,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22863156,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24234588,BRIT,SMU,,PreservedSpecimen,c02c3d28-0d6d-426a-a7e0-6826797fbd38,BRIT445135,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Woodsiaceae|Woodsia,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Woodsiaceae,Woodsia obtusa,105450.0,(Spreng.) Torr.,Woodsia,,obtusa,,,Species,,,,,,,,H. I. Featherly,,1,1932-06-11,,1932.0,6.0,11.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,"6 mi. N. of Keystone, on Highway No. 64.",,,,,,,,,,,,,,,,,,,,,,jesslane13,2023-07-16 07:02:03,,370,c02c3d28-0d6d-426a-a7e0-6826797fbd38,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24234588,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24939808,BRIT,BRIT,,PreservedSpecimen,1e2a2d58-4d9d-4c73-b59d-7ef8b75616d9,BRIT534408,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Ptilimnium,Plantae,Magnoliophyta,,Apiales,Apiaceae,Ptilimnium capillaceum,118363.0,(Michx.) Raf.,Ptilimnium,,capillaceum,,,Species,,,,,,,,Amy Buthod,,AB-4855,2004-06-03,,2004.0,6.0,3.0,155.0,,,,prairie,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e49c0d3f-f91a-47fa-9b01-9734c7d610c0,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,"Cleveland; 5.0 W of Cleveland, OK on hwy 64 at the Will Rogers Boy Scout Camp. T21N, R7E, Sec. 15. 14S 721138 4018759",,,,36.288477,-96.537619,,,"T21N, R7E, Sec. 15. 14S 721138 4018759",,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,1e2a2d58-4d9d-4c73-b59d-7ef8b75616d9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24939808,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25201388,BRIT,SMU,,PreservedSpecimen,f8a1b2e8-f6af-445c-ac8f-ce34eadc52da,BRIT545724,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Eupatorium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Eupatorium altissimum,43874.0,L.,Eupatorium,,altissimum,,,Species,Robert Stratton,,,,,,,Wm. Umbach,,2,1942-09-18,,1942.0,9.0,18.0,261.0,,,invol. 5.8 mm.,clay loam soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,1 mi. W. of Pawnee,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,f8a1b2e8-f6af-445c-ac8f-ce34eadc52da,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25201388,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25205185,BRIT,SMU,,PreservedSpecimen,d4e523cb-3b61-4222-bd40-5c42b3534bfa,BRIT548639,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Helenium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Helenium tenuifolium,65021.0,Nutt.,Helenium,,tenuifolium,,,Species,,,,,,,,A. H. Van Vleet,,s.n.,1905-07-26,,1905.0,7.0,26.0,207.0,,7/6/05,,roadside,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,near Terlton,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,d4e523cb-3b61-4222-bd40-5c42b3534bfa,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25205185,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25207173,BRIT,SMU,,PreservedSpecimen,1b25ccfc-eb34-439c-8fb4-848a793f4b9d,BRIT548861,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Helianthus,Plantae,Magnoliophyta,,Asterales,Asteraceae,Helianthus orgyalis,86415.0,DC.,Helianthus,,orgyalis,,,Species,,,,,,,,Wm. Umbach,,10,1942-09-19,,1942.0,9.0,19.0,262.0,,,,rocky clay soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,14.5 mi. N. of Pawnee,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,1b25ccfc-eb34-439c-8fb4-848a793f4b9d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25207173,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25216514,BRIT,SMU,,PreservedSpecimen,32a03cc7-571e-4023-9fd8-4a9dbda432ff,BRIT559521,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Solidago|Solidago rigida,Plantae,Magnoliophyta,,Asterales,Asteraceae,Solidago rigida subsp. rigida,163507.0,,Solidago,,rigida,subsp.,rigida,Subspecies,"S. Heard, J. C. Semple",1986-00-00,,,,,,Robert Pearce,,500,1927-08-30,,1927.0,8.0,30.0,242.0,,,,sandy clay soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,8 mi. E. of Pawnee,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-18 10:32:41,,370,32a03cc7-571e-4023-9fd8-4a9dbda432ff,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25216514,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25221612,BRIT,SMU,,PreservedSpecimen,2630c3a4-60d5-499c-9042-fffa0d11201a,BRIT434374,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Euphorbia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Euphorbia maculata,9984.0,L.,Euphorbia,,maculata,,,Species,U.T. Waterfall,1951,,,,,,Wm. Umbach,,14,1942-09-18,,1942.0,9.0,18.0,261.0,,,,Silty clay loam soil,Silty clay loam soil,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,4 mi. N. of Pawnee,,0.0,,,,,,,,,,,,,,,,,,,,jstone,2023-07-16 07:02:03,,370,2630c3a4-60d5-499c-9042-fffa0d11201a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25221612,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25264708,BRIT,BRIT,,PreservedSpecimen,ed24bf8a-c241-49b2-9973-719b2cc1f122,BRIT562142,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Cardamine,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Cardamine parviflora,2063.0,L.,Cardamine,,parviflora,,,Species,,,,,,,,Amy Buthod,Bruce Hoagland,AB-4504,2004-04-01,,2004.0,4.0,1.0,92.0,,4/1/2004,sand bittercress,disturbed lawn area,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=76121ab5-74cd-49cb-bd33-5e6a6e18c391,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,"Cleveland; 5.0 W of Cleveland, OK on hwy 64 at the Will Rogers Boy Scout Camp. T21N, R7E, Sec. 15. 14S 721138 4018759",,0.0,,36.288477,-96.537619,,,14S 721138 4018759,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,ed24bf8a-c241-49b2-9973-719b2cc1f122,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25264708,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25874326,BRIT,BRIT,,PreservedSpecimen,4eef9e68-c728-4150-8eca-f6b362f370ad,BRIT434866,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Chamaesyce,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Chamaesyce serpens,3406.0,(Kunth) Small,Chamaesyce,,serpens,,,Species,,,,,,,,Bruce Hoagland,Amy Buthod,KEY409,2002-08-20,,2002.0,8.0,20.0,232.0,,,,off of hwy 99,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,"Cleveland; 1.5 mi SE of Cleveland, OK off of hwy 99 on the Keystone WMA",,,,,,,,,,,,,,,,,,,,,,jstone,2023-07-16 07:02:03,,370,4eef9e68-c728-4150-8eca-f6b362f370ad,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25874326,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25874331,BRIT,SMU,,PreservedSpecimen,c69221bf-37f1-4da8-b736-2234c3610a7e,BRIT434867,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Euphorbia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Euphorbia serpens,10044.0,Kunth,Euphorbia,,serpens,,,Species,Robect Stratton,,,,,,,O.H. Calvert,,,1942-09-18,,1942.0,9.0,18.0,261.0,,,,Silty clay loam soil,Silty clay loam soil,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,4 mi. N. of Pawnee,,,,,,,,,,,,,,,,,,,,,,jstone,2023-07-16 07:02:03,,370,c69221bf-37f1-4da8-b736-2234c3610a7e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25874331,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26725797,BRIT,SMU,,PreservedSpecimen,a6b38494-53a7-4026-91b7-ad451037295b,BRIT436178,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Croton,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Croton monanthogynus,3416.0,Michx.,Croton,,monanthogynus,,,Species,Robert Stratton,,,,,,,Leonard Bell,,s.n.,1938-07-18,,1938.0,7.0,18.0,199.0,,,,Limestone-clay gumbo.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,6 N. and 2.5 E. of Pawnee.,,,,,,,,,,,,,,,,,,,,,,carrollk2015,2023-07-16 07:02:03,,370,a6b38494-53a7-4026-91b7-ad451037295b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26725797,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26733885,BRIT,BRIT,,PreservedSpecimen,838ec2bc-1917-400e-b92b-b95516677fc0,BRIT563231,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Caryophyllaceae|Arenaria,Plantae,Magnoliophyta,,Caryophyllales,Caryophyllaceae,Arenaria serpyllifolia,17905.0,L.,Arenaria,,serpyllifolia,,,Species,,,,,,,,Amy Buthod,Bruce Hoagland,AB-4511,2004-04-01,,2004.0,4.0,1.0,92.0,,,,disturbed lawn area,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f2f4df88-ca8c-4c14-9d3c-355f19433da6,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,"Cleveland; 5.0 W of Cleveland, OK on hwy 64 at the Will Rogers Boy Scout Camp. T21N, R7E, Sec. 15. 14S 721138 4018759",,0.0,,36.288477,-96.537619,,,14S 721138 4018759,,,,,,,,,,,,,,tboucher,2023-07-16 07:02:03,,370,838ec2bc-1917-400e-b92b-b95516677fc0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26733885,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26824901,BRIT,SMU,,PreservedSpecimen,67102d90-771c-4e56-b0d2-a0cbe8a2f28a,BRIT437875,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Euphorbia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Euphorbia davidii,782.0,Subils,Euphorbia,,davidii,,,Species,M.H. Mayfield,May 1998,,Examined for Flora N. America,,,,Russell Martin,,92,1948-07-17,,1948.0,7.0,17.0,199.0,,,,Sandy clay soil,Sandy clay soil,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,4 mi. W. of Pawnee,,0.0,,,,,,,,,,,,,,,,,,,,jstone,2023-07-16 07:02:03,,370,67102d90-771c-4e56-b0d2-a0cbe8a2f28a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26824901,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26829902,BRIT,SMU,,PreservedSpecimen,da447a3c-fb0f-4bda-9f6b-0e5a0daedd9c,BRIT565188,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Desmodium,Plantae,Magnoliophyta,,Fabales,Fabaceae,Desmodium paniculatum,46562.0,(L.) DC.,Desmodium,,paniculatum,,,Species,Robert Stratton,,,,,,,O. H. Calvert,,s.n.,1942-09-18,,1942.0,9.0,18.0,261.0,,,,Clay loam soil.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,11.3 mi. E. of Morrison.,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,da447a3c-fb0f-4bda-9f6b-0e5a0daedd9c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26829902,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26830264,BRIT,BRIT,,PreservedSpecimen,e97261a4-9829-4d4c-93ff-57eb2e75332a,BRIT564282,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ebenaceae|Diospyros|Diospyros virginiana,Plantae,Magnoliophyta,,Ericales,Ebenaceae,Diospyros virginiana var. pubescens,64278.0,Nutt.,Diospyros,,virginiana,var.,pubescens,Variety,,,,,,,,A. V. Weber,,240,1959-08-01,,1959.0,8.0,1.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,"2½ miles north of Pawnee, Oklahoma.","[Label says state is Kansas, however 2½ miles north of Pawnee, Oklahoma is still in Oklahoma]",0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,e97261a4-9829-4d4c-93ff-57eb2e75332a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26830264,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26830844,BRIT,SMU,,PreservedSpecimen,88ba26de-b688-4902-8d80-c56f453232a8,BRIT564588,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Chamaecrista,Plantae,Magnoliophyta,,Fabales,Fabaceae,Chamaecrista nictitans,1189.0,(L.) Moench,Chamaecrista,,nictitans,,,Species,,,,,,,,A. H. Van Vleet,,s.n.,1905-07-25,,1905.0,7.0,25.0,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,Near Terlton.,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,88ba26de-b688-4902-8d80-c56f453232a8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26830844,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26831382,BRIT,BRIT,,PreservedSpecimen,a55ae0a4-9b07-42cc-aa11-44d611cc23fa,BRIT566640,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Pediomelum,Plantae,Magnoliophyta,,Fabales,Fabaceae,Pediomelum linearifolium,18537.0,(Torr. & Gray) J. Grimes,Pediomelum,,linearifolium,,,Species,,,,,,,,Amy Buthod,,AB-4867,2004-06-03,,2004.0,6.0,3.0,155.0,,,,Prairie.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6b9a70ac-1cd9-4973-8c91-cd45ec681775,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,"Cleveland; 5.0 W of Cleveland, OK on hwy 64 at the Will Rogers Boy Scout Camp. T21N, R7E, Sec. 15. 14S 721138 4018759.",,0.0,,36.288477,-96.537619,,,14S 721138 4018759,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,a55ae0a4-9b07-42cc-aa11-44d611cc23fa,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26831382,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26831696,BRIT,BRIT,,PreservedSpecimen,cdf9588c-33a1-4585-ac06-d81f2edf747c,BRIT563356,,Plantae|Tracheophyta|Spermatophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Caryophyllaceae|Cerastium,Plantae,Magnoliophyta,,Caryophyllales,Caryophyllaceae,Cerastium glomeratum,3482.0,Thuill.,Cerastium,,glomeratum,,,Species,,,,,,,,Amy Buthod,Bruce Hoagland,AB-4507,2004-04-01,,2004.0,4.0,1.0,92.0,,,,disturbed lawn area,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b466fdca-aba0-481a-af6a-613b1daa6e5b,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,"Cleveland; 5.0 W of Cleveland, OK on hwy 64 at the Will Rogers Boy Scout Camp. T21N, R7E, Sec. 15. 14S 721138 4018759",,0.0,,36.288477,-96.537619,,,14S 721138 4018759,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,cdf9588c-33a1-4585-ac06-d81f2edf747c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26831696,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27226251,BRIT,SMU,,PreservedSpecimen,90f69560-c5c6-46a3-9371-31f35b7ee505,BRIT570055,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Lamiaceae|Salvia|Salvia azurea,Plantae,Magnoliophyta,,Lamiales,Lamiaceae,Salvia azurea var. grandiflora,57439.0,Benth.,Salvia,,azurea,var.,grandiflora,Variety,,,,,,,,Russell Martin,,105,1948-07-17,,1948.0,7.0,17.0,199.0,,,,Sandy clay soil.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,5 mi. W. of Pawnee.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,90f69560-c5c6-46a3-9371-31f35b7ee505,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27226251,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27526050,BRIT,SMU,,PreservedSpecimen,2f82f1eb-904a-4415-a70f-ed0fefa392b2,BRIT571375,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Calylophus,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Calylophus serrulatus,1240.0,(Nutt.) Raven,Calylophus,,serrulatus,,,Species,Howard F. Towner,1969-70,,,,,,Geraldine Felts,,68,1936-05-06,,1936.0,5.0,6.0,127.0,,,[Handwritten notes on sheet: lf 4 X 46 mm; ~40%],Sandy soil.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,2 mi. W. of Skedeee.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,2f82f1eb-904a-4415-a70f-ed0fefa392b2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27526050,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27601594,BRIT,SMU,,PreservedSpecimen,1eda007e-28e9-4172-96c7-e4b503a515e7,BRIT581078,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Amaryllidaceae|Allium|Allium canadense,Plantae,Magnoliophyta,,Asparagales,Amaryllidaceae,Allium canadense var. lavendulare,162792.0,,Allium,,canadense,var.,lavendulare,Variety,,,,,,,,U. T. Waterfall,,9942,1951-05-30,,1951.0,5.0,30.0,150.0,,,,Depression in prairie.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=12fde244-1252-42a3-8140-1b920e51a728 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e2e0df89-2dd9-4aa0-9773-987c95ec60b8 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=eeac0aee-340a-46fd-8057-18b13cb7a723 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1547cdc9-f9e4-4988-83d2-e02f9b14d6f1 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d5748db7-6471-4130-bf54-b76c5e58f891,,,,,,,,,,,,,,,,United States,Oklahoma,Pawnee,,4 miles southeast of Pawnee.,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-18 10:32:52,,370,1eda007e-28e9-4172-96c7-e4b503a515e7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27601594,Pawnee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
